CustomerID,Name,Age,Gender,SubscriptionType,SubscriptionDate,LastLoginDate,TotalSessions,FeedbackScore,IsChurned
CUST0090,Douglas Jordan,20,Other,Quarterly,2025-08-11,2026-03-09,17,8,0
CUST0091,Heather Klein,40,Male,Monthly,2025-06-14,2025-06-25,24,1,1
CUST0092,Nicole Hernandez,41,Other,Monthly,2025-12-30,2026-03-04,2,9,0
CUST0093,Jennifer Fields,34,Male,Monthly,2025-01-31,2025-11-10,18,1,1
CUST0094,Rita Thompson,27,Other,Yearly,2025-10-28,2025-12-28,34,8,1
CUST0095,Mrs. Heather Franklin DDS,55,Male,Quarterly,2025-11-12,2025-12-29,6,8,1
CUST0096,Victoria Higgins,53,Male,Yearly,2025-10-05,2026-03-13,6,7,0
CUST0097,Valerie Calderon,54,Male,Quarterly,2024-06-28,2024-09-01,34,7,1
CUST0098,Erin Harrell,23,Male,Quarterly,2025-03-07,2025-10-20,38,5,1
CUST0099,Laura Wagner,52,Female,Yearly,2024-06-10,2025-08-01,21,5,1
CUST0100,Matthew Hamilton,22,Male,Monthly,2025-08-10,2026-01-10,0,9,1
CUST0101,Krista Martin,48,Other,Yearly,2025-06-20,2025-11-08,40,1,1
CUST0102,Janice Watkins,28,Female,Yearly,2025-09-08,2025-09-28,40,5,1
CUST0103,Lisa Hernandez,37,Male,Yearly,2024-06-16,2026-01-10,36,8,1
CUST0104,Marisa Washington,35,Male,Quarterly,2025-05-07,2026-01-01,29,7,1
CUST0105,Rachel Ramirez,47,Female,Quarterly,2024-08-17,2025-11-22,32,8,1
CUST0106,Monica Levy,24,Female,Monthly,2025-08-04,2025-11-02,29,8,1
CUST0107,Stacey Elliott,37,Female,Monthly,2024-05-27,2025-10-15,33,9,1
CUST0108,Jeremy Cole,19,Male,Monthly,2024-08-22,2026-01-15,27,4,1
CUST0109,Kyle Wood,49,Male,Yearly,2024-09-12,2026-02-28,39,9,0
CUST0110,Evan Collins,48,Female,Quarterly,2024-06-28,2026-02-04,25,7,1
CUST0111,Stephanie Cooper,41,Other,Quarterly,2024-06-03,2025-09-19,50,1,1
CUST0112,Pamela Duran,25,Female,Yearly,2025-05-12,2026-03-20,12,2,0
CUST0113,David Guerrero,40,Male,Quarterly,2025-05-19,2026-01-27,42,8,1
CUST0114,Travis Reyes,36,Male,Quarterly,2024-07-16,2024-08-13,20,4,1
CUST0115,Wayne Moore,29,Female,Monthly,2024-12-16,2025-10-27,19,5,1
CUST0116,William Rosales,58,Male,Yearly,2025-10-24,2026-01-18,23,10,1
CUST0117,Abigail Martinez,30,Female,Monthly,2026-01-25,2026-02-02,4,7,1
CUST0118,Melissa Murphy,52,Other,Quarterly,2024-08-11,2026-04-23,16,7,0
CUST0119,Dylan Larson,31,Male,Monthly,2025-07-26,2026-04-21,3,4,1
CUST0120,Michael Harvey,47,Female,Monthly,2026-01-04,2026-02-27,24,5,0
CUST0121,Sarah Garcia,53,Other,Quarterly,2025-07-27,2026-04-14,49,2,0
CUST0122,Joshua Rodgers,47,Female,Yearly,2024-07-09,2025-09-16,14,1,1
CUST0123,Stacy Brown,43,Male,Yearly,2025-12-03,2026-01-22,42,1,1
CUST0124,Adam Miller,34,Male,Quarterly,2025-05-21,2025-06-18,9,3,1
CUST0125,Laura Mack,48,Other,Monthly,2025-09-24,2026-01-27,20,3,1
CUST0126,Kyle Klein,40,Female,Quarterly,2025-05-03,2025-09-02,3,8,1
CUST0127,Scott Anderson,42,Female,Quarterly,2026-02-03,2026-04-04,39,5,0
CUST0128,Austin Griffin,57,Male,Monthly,2024-12-24,2025-01-18,36,1,1
CUST0129,Ryan Griffin,50,Female,Quarterly,2025-12-14,2026-03-07,23,7,0
CUST0130,Brittany Ford,18,Other,Yearly,2025-11-26,2025-12-05,15,1,1
CUST0131,Terri Morris,47,Male,Yearly,2024-07-06,2024-12-24,34,7,1
CUST0132,Joshua Newton,33,Female,Yearly,2024-08-08,2024-10-27,13,7,1
CUST0133,Charles King,42,Female,Quarterly,2024-09-13,2025-07-08,37,1,1
CUST0134,Jennifer Davis,21,Male,Monthly,2025-12-04,2026-02-14,28,5,1
CUST0135,Patricia Williams,47,Female,Yearly,2024-06-06,2025-02-24,24,5,1
CUST0136,Jeremy Robinson,38,Other,Monthly,2024-09-03,2024-10-12,14,10,1
CUST0137,Tracy Haas,47,Male,Monthly,2025-08-07,2025-09-22,32,1,1
CUST0138,Doris Martin,46,Other,Monthly,2024-10-30,2025-01-24,8,10,1
CUST0139,Kyle Ramirez,26,Female,Yearly,2025-06-23,2025-08-15,9,7,1
CUST0140,Brenda Nelson,33,Male,Monthly,2024-09-11,2025-12-11,40,5,1
CUST0141,Pedro Lopez,34,Male,Quarterly,2024-12-09,2025-04-24,0,5,1
CUST0142,Brittany Harvey,41,Other,Yearly,2024-06-22,2025-11-19,37,8,1
CUST0143,Willie Russell,56,Female,Monthly,2024-06-12,2024-07-11,47,7,1
CUST0144,Philip Howard,44,Other,Quarterly,2024-09-22,2025-02-23,41,1,1
CUST0145,Mark Maldonado,55,Male,Monthly,2024-08-10,2025-05-20,9,2,1
CUST0146,Robert Cantrell,25,Female,Yearly,2024-08-27,2025-08-18,12,10,1
CUST0147,Brenda Rodriguez,54,Female,Quarterly,2025-12-21,2026-04-11,50,4,0
CUST0148,Matthew Snyder,27,Other,Monthly,2025-08-09,2026-04-22,44,2,0
CUST0149,Rodney Hanson,48,Female,Yearly,2024-09-09,2025-12-26,7,3,1
CUST0150,Lindsey Trevino,34,Female,Quarterly,2025-04-12,2025-12-05,11,9,1
CUST0151,Gina Arnold,52,Other,Yearly,2024-08-24,2024-11-25,10,4,1
CUST0152,Brian Poole,53,Male,Yearly,2025-10-15,2025-11-24,50,8,1
CUST0153,Anthony Mitchell,56,Male,Yearly,2026-02-01,2026-02-12,24,4,1
CUST0154,Oscar Shannon,46,Female,Yearly,2024-05-09,2025-10-16,29,2,1
CUST0155,Dale Mathis,46,Other,Monthly,2025-03-20,2025-08-30,19,10,1
CUST0156,Julia Potts,34,Other,Quarterly,2024-09-17,2025-10-01,10,7,1
CUST0157,Janet Hobbs,25,Female,Quarterly,2025-05-13,2025-09-20,35,3,1
CUST0158,Michael Davis,20,Female,Monthly,2024-08-18,2024-11-18,46,6,1
CUST0159,Peter Lopez,36,Other,Yearly,2026-03-16,2026-03-19,13,7,0
CUST0160,Debbie Rogers,19,Other,Monthly,2024-09-07,2026-03-22,43,7,0
CUST0161,John Campbell,43,Male,Yearly,2025-03-19,2025-06-05,4,8,1
CUST0162,Andrew Lee,40,Other,Monthly,2025-11-16,2026-02-04,11,8,1
CUST0163,Kimberly Vazquez,22,Other,Monthly,2025-01-22,2026-01-17,1,7,1
CUST0164,Sara Villanueva,55,Female,Quarterly,2026-02-05,2026-04-17,34,2,0
CUST0165,Dennis Elliott,34,Male,Yearly,2024-11-29,2026-03-27,0,6,0
CUST0166,Ryan Martin,39,Female,Quarterly,2025-11-30,2026-04-10,27,9,0
CUST0167,James Briggs,49,Other,Quarterly,2025-04-05,2025-06-16,3,5,1
CUST0168,Nicholas Hinton,35,Other,Monthly,2025-06-27,2025-09-21,24,2,1
CUST0169,Justin Brown,22,Other,Quarterly,2025-11-21,2026-04-23,7,5,0
CUST0170,Stephanie Miller,42,Female,Yearly,2025-06-16,2025-11-24,4,10,1
CUST0171,Patricia Thornton,50,Male,Yearly,2024-12-19,2025-07-20,25,1,1
CUST0172,Carmen Chan,50,Other,Quarterly,2025-05-30,2026-01-09,17,2,1
CUST0173,William Summers,46,Female,Yearly,2024-09-13,2025-12-31,27,4,1
CUST0174,Katelyn Mckinney,23,Male,Monthly,2024-09-07,2025-09-01,2,8,1
CUST0175,Charles Moore,56,Female,Monthly,2025-12-19,2025-12-28,23,10,1
CUST0176,Adriana Johnson,33,Other,Quarterly,2025-09-20,2026-04-19,19,3,0
CUST0177,Meagan Gutierrez,37,Other,Monthly,2025-03-29,2025-10-20,1,5,1
CUST0178,Nancy Serrano,44,Male,Quarterly,2026-02-26,2026-04-10,36,6,0
CUST0179,Samantha Singleton,21,Other,Monthly,2025-04-20,2025-09-04,30,10,1
CUST0180,Karen Brooks,47,Other,Yearly,2024-08-13,2025-09-17,17,10,1
CUST0181,Debra Gill,60,Male,Quarterly,2025-04-29,2026-01-05,50,7,1
CUST0182,Jeffrey Simpson,44,Female,Quarterly,2025-05-12,2025-11-01,26,8,1
CUST0183,Christopher Boyd,49,Other,Quarterly,2025-06-26,2025-07-21,33,1,1
CUST0184,Lisa Pena,55,Other,Monthly,2025-10-08,2026-03-31,23,3,0
CUST0185,Dustin Willis,35,Other,Monthly,2025-07-08,2025-08-27,37,7,1
CUST0186,Michael Wright,26,Other,Yearly,2025-06-26,2026-01-22,29,4,1
CUST0187,Patrick Duarte,24,Male,Monthly,2025-01-10,2025-10-27,20,6,1
CUST0188,Catherine Blair,21,Male,Yearly,2025-05-03,2025-09-24,45,7,1
CUST0189,Lisa Keller,39,Male,Monthly,2024-12-13,2025-10-24,12,10,1
CUST0190,Christina Combs,28,Female,Quarterly,2025-08-15,2026-01-01,40,1,1
CUST0191,Michael Harrison,45,Other,Yearly,2026-03-09,2026-04-14,29,10,0
CUST0192,Benjamin Walsh,46,Male,Yearly,2025-05-06,2026-03-30,28,8,0
CUST0193,Samantha Leonard,41,Male,Yearly,2026-03-10,2026-04-20,23,4,0
CUST0194,Gregory Jackson,36,Female,Monthly,2025-07-23,2026-04-16,35,6,0
CUST0195,Keith Barker,23,Female,Monthly,2025-02-03,2025-06-14,41,9,1
CUST0196,Shawn Wright,51,Female,Yearly,2025-04-29,2026-02-07,32,2,1
CUST0197,Richard Garcia,54,Other,Quarterly,2025-07-11,2026-02-10,19,3,1
CUST0198,Stephanie Banks,56,Female,Yearly,2026-02-20,2026-04-02,26,1,0
CUST0199,Kyle Smith,31,Male,Yearly,2024-10-03,2025-06-05,50,10,1
CUST0200,Nicole Armstrong,37,Other,Quarterly,2024-10-25,2025-10-14,9,9,1
CUST0201,Pamela Reid,31,Female,Monthly,2026-01-04,2026-02-16,35,6,1
CUST0202,Jake Cannon,52,Other,Monthly,2024-06-06,2024-11-23,24,7,1
CUST0203,Holly Walker,25,Female,Yearly,2025-02-20,2025-03-22,2,5,1
CUST0204,Zachary Beasley,41,Other,Yearly,2025-03-20,2026-01-21,26,1,1
CUST0205,Elizabeth Delgado,40,Male,Monthly,2025-07-17,2026-04-10,49,7,0
CUST0206,Amanda Watson,47,Other,Yearly,2024-06-25,2025-11-29,25,8,1
CUST0207,Eric Moore,32,Female,Yearly,2025-05-13,2026-01-14,11,5,1
CUST0208,Patricia Howard,59,Female,Monthly,2025-08-05,2025-09-22,40,1,1
CUST0209,Betty Moore,28,Male,Yearly,2024-05-14,2024-11-25,26,7,1
CUST0210,Shawn Baker,53,Other,Monthly,2024-11-03,2025-11-01,35,10,1
CUST0211,Joe Collier,40,Female,Yearly,2026-02-08,2026-03-18,0,8,0
CUST0212,Loretta Wolfe,25,Male,Monthly,2024-10-31,2025-03-09,22,5,1
CUST0213,Elizabeth Contreras,22,Other,Monthly,2024-06-02,2025-07-23,45,8,1
CUST0214,Richard Williams,24,Other,Quarterly,2024-04-27,2026-04-18,19,4,0
CUST0215,Cheyenne Duarte,18,Female,Quarterly,2025-08-10,2025-12-26,22,4,1
CUST0216,Lisa Davidson,54,Other,Monthly,2025-06-10,2026-01-03,29,9,1
CUST0217,Amanda Cunningham,54,Female,Monthly,2024-10-02,2025-08-23,1,7,1
CUST0218,William Hernandez,49,Male,Monthly,2024-05-13,2025-09-23,24,10,1
CUST0219,John Spencer,19,Other,Monthly,2025-03-06,2025-04-29,34,4,1
CUST0220,Gina Olson,44,Female,Monthly,2025-01-09,2025-04-09,47,4,1
CUST0221,Edward Alexander,23,Other,Yearly,2024-11-13,2025-10-16,5,2,1
CUST0222,Christopher Rice,58,Male,Monthly,2025-09-16,2025-12-02,44,3,1
CUST0223,Edward Gomez,18,Male,Quarterly,2024-06-17,2025-10-25,26,7,1
CUST0224,Jerry Frazier,34,Other,Quarterly,2025-08-25,2025-12-21,32,2,1
CUST0225,Justin Gentry,57,Other,Yearly,2026-01-27,2026-04-11,44,10,0
CUST0226,Tiffany Kelly,49,Other,Quarterly,2024-07-13,2025-09-26,7,8,1
CUST0227,Eugene Flores,34,Female,Quarterly,2024-09-05,2026-02-19,19,7,1
CUST0228,Amber Robles,57,Female,Monthly,2024-05-22,2026-04-18,15,9,0
CUST0229,Courtney Mora,33,Other,Yearly,2025-12-06,2026-04-13,33,6,0
CUST0230,Linda Jackson,29,Female,Quarterly,2025-03-10,2025-06-01,15,6,1
CUST0231,Joanne Moore,57,Female,Quarterly,2025-03-26,2025-03-26,24,7,1
CUST0232,Becky Arellano,49,Male,Yearly,2025-05-21,2026-04-11,23,1,0
CUST0233,Stephanie Reynolds,43,Female,Monthly,2025-02-13,2026-02-22,33,8,1
CUST0234,Joanne Hall,36,Other,Yearly,2025-08-16,2026-03-25,30,10,0
CUST0235,Christopher Garcia,26,Female,Yearly,2025-10-12,2025-10-16,34,8,1
CUST0236,Ashley Owens,27,Male,Quarterly,2024-11-23,2026-03-23,11,5,0
CUST0237,Jeffery Burns,39,Female,Monthly,2025-12-12,2025-12-15,16,4,1
CUST0238,Patrick Smith,19,Male,Monthly,2025-02-28,2025-08-10,17,1,1
CUST0239,Brandon Moore,20,Female,Quarterly,2025-12-02,2026-03-11,43,4,0
CUST0240,Caleb Clark,38,Male,Quarterly,2025-10-17,2025-12-17,24,10,1
CUST0241,Elizabeth Mccoy,25,Other,Monthly,2024-10-28,2025-05-29,50,2,1
CUST0242,Timothy Camacho,49,Male,Quarterly,2024-12-04,2025-09-30,11,5,1
CUST0243,Victoria Thomas,18,Male,Quarterly,2025-04-07,2026-03-01,20,8,0
CUST0244,Miss Jessica Reid,55,Other,Monthly,2024-08-23,2025-11-27,46,7,1
CUST0245,Ariel Davis,25,Other,Monthly,2024-07-30,2024-08-10,45,10,1
CUST0246,John Willis,46,Other,Monthly,2025-03-26,2025-12-10,43,7,1
CUST0247,Susan Kirk,26,Other,Monthly,2024-07-01,2025-08-09,28,9,1
CUST0248,Allen Jones,55,Other,Monthly,2024-08-10,2024-12-21,7,8,1
CUST0249,Carl Owen,20,Other,Monthly,2024-12-12,2025-07-03,1,9,1
CUST0250,Keith Jones,34,Female,Quarterly,2024-07-20,2024-12-22,30,4,1
CUST0251,Casey Smith,53,Male,Monthly,2025-02-01,2025-07-07,40,7,1
CUST0252,Sarah Mills,54,Male,Monthly,2025-03-13,2025-09-13,1,6,1
CUST0253,Anna Brown,28,Female,Monthly,2024-06-09,2024-11-26,47,2,1
CUST0254,Stephen Franco,48,Male,Quarterly,2024-05-31,2025-12-29,24,6,1
CUST0255,Shelly Moore,49,Other,Quarterly,2025-04-30,2025-08-14,33,3,1
CUST0256,Todd Orozco,38,Male,Yearly,2025-11-27,2026-02-13,0,5,1
CUST0257,Lauren Lane,19,Other,Monthly,2024-07-17,2026-03-31,19,8,0
CUST0258,Stephanie Roberson,55,Male,Monthly,2024-07-10,2025-10-28,38,5,1
CUST0259,Nicholas Lee,35,Female,Yearly,2024-08-27,2025-06-10,31,8,1
CUST0260,Stephanie Castillo,59,Female,Yearly,2024-11-15,2026-04-14,13,2,0
CUST0261,Alexander Fernandez,36,Female,Yearly,2024-10-08,2025-03-31,27,1,1
CUST0262,Juan Fry,59,Other,Yearly,2025-04-16,2025-12-19,19,10,1
CUST0263,James Jennings,53,Male,Quarterly,2025-01-11,2025-05-08,25,3,1
CUST0264,Michael Williamson,60,Male,Monthly,2025-06-06,2025-10-20,23,7,1
CUST0265,Vanessa Taylor,34,Male,Quarterly,2025-06-24,2025-10-27,13,5,1
CUST0266,Patricia Baker,30,Female,Yearly,2026-03-10,2026-04-19,11,6,0
CUST0267,Kelly Walsh,39,Female,Quarterly,2025-11-02,2026-01-30,30,10,1
CUST0268,Michael Miller,42,Female,Monthly,2025-06-16,2025-11-09,48,1,1
CUST0269,Mitchell Jacobs,52,Male,Quarterly,2025-03-31,2025-12-27,29,2,1
CUST0270,Elizabeth Edwards,39,Other,Quarterly,2025-11-20,2026-04-24,23,4,0
CUST0271,Samantha Thomas,31,Male,Quarterly,2024-05-10,2025-08-28,15,9,1
CUST0272,John Kennedy,51,Other,Yearly,2025-12-18,2026-01-20,35,5,1
CUST0273,Steven Clark,36,Other,Yearly,2025-11-18,2026-04-01,3,8,0
CUST0274,Amanda Smith,27,Male,Quarterly,2024-11-14,2025-10-08,22,8,1
CUST0275,John Reed,52,Male,Quarterly,2024-09-18,2025-09-19,26,4,1
CUST0276,Richard Patterson,22,Male,Monthly,2024-05-01,2024-09-14,39,6,1
CUST0277,Elizabeth Johnson,27,Female,Monthly,2025-10-23,2025-12-07,43,9,1
CUST0278,William Miller,50,Other,Yearly,2025-02-13,2025-11-01,15,8,1
CUST0279,Maria Fields,44,Other,Monthly,2025-01-06,2025-07-15,45,1,1
CUST0280,Eric Joyce,57,Male,Quarterly,2024-05-28,2026-04-24,4,7,0
CUST0281,Frank Mullins,37,Female,Quarterly,2025-03-21,2025-06-10,22,7,1
CUST0282,Alicia Andrade,28,Other,Yearly,2025-10-08,2026-04-16,2,6,0
CUST0283,Mary Scott,55,Male,Monthly,2025-08-22,2026-04-17,15,10,0
CUST0284,Lisa Salazar,25,Female,Yearly,2025-05-22,2025-08-26,37,10,1
CUST0285,David Walsh,54,Male,Yearly,2025-01-17,2025-03-24,28,6,1
CUST0286,Matthew Martinez,44,Other,Monthly,2026-01-07,2026-02-22,11,10,1
CUST0287,Brittany Jones,53,Female,Quarterly,2024-10-02,2024-12-15,50,1,1
CUST0288,Sara Hale,39,Female,Monthly,2025-02-25,2025-05-03,30,6,1
CUST0289,Shari Simpson,58,Female,Quarterly,2024-06-13,2026-01-19,46,2,1
CUST0290,Christine Burns,56,Other,Quarterly,2024-05-23,2024-11-04,32,6,1
CUST0291,Carla Nguyen,50,Male,Quarterly,2026-02-14,2026-04-16,28,1,0
CUST0292,Cody Wright,50,Other,Monthly,2024-10-24,2024-12-05,24,1,1
CUST0293,Renee Baker,27,Other,Monthly,2024-11-03,2025-04-09,5,5,1
CUST0294,Leonard Wolf,34,Male,Monthly,2025-10-06,2025-12-09,11,2,1
CUST0295,Elizabeth Taylor,32,Other,Yearly,2024-07-06,2026-01-05,2,8,1
CUST0296,Michael Gutierrez,51,Other,Quarterly,2025-11-02,2025-11-15,47,3,1
CUST0297,Caleb Ramirez,38,Other,Quarterly,2025-10-21,2025-11-24,27,2,1
CUST0298,Katherine Williams,47,Other,Monthly,2024-05-21,2025-07-02,36,6,1
CUST0299,Jonathon Gutierrez,32,Male,Quarterly,2025-06-09,2025-12-24,8,2,1
CUST0300,Daniel Torres,28,Male,Yearly,2026-03-17,2026-03-23,27,1,0
CUST0301,Xavier Collins,29,Female,Yearly,2025-05-22,2025-10-27,3,2,1
CUST0302,Robert Alexander,37,Female,Yearly,2025-05-12,2025-06-10,13,4,1
CUST0303,Nicole Frederick,22,Other,Yearly,2025-09-16,2026-01-22,14,10,1
CUST0304,Arthur Green,41,Other,Quarterly,2024-06-14,2025-02-16,50,1,1
CUST0305,Craig Hughes,52,Male,Quarterly,2025-04-11,2025-06-21,27,4,1
CUST0306,Emily Mcgrath,19,Male,Quarterly,2024-10-26,2025-08-24,41,4,1
CUST0307,Heather Conway,30,Male,Quarterly,2025-04-26,2026-01-15,31,10,1
CUST0308,Nancy Stone,34,Male,Monthly,2024-05-07,2025-01-21,16,5,1
CUST0309,Jennifer Wilkins,54,Female,Monthly,2025-11-21,2026-01-04,50,2,1
